,Species,Domain,Average Range,Genome_size,Exon_to_genome_ratio
231,Actinokineospora_terrae,bacteria,721329.0,7588185.0,10.519728168422454
232,Actinomadura_bangladeshensis,bacteria,116759.0,8697534.0,74.49133685625948
233,Actinomadura_craniellae,bacteria,693981.0,7503577.0,10.812366620988183
234,Actinomadura_darangshiensis,bacteria,106726.0,9886063.0,92.63031501227442
235,Actinomadura_geliboluensis,bacteria,89789.0,9420971.0,104.92344273797458
236,Actinomadura_harenae,bacteria,210554.0,9356375.0,44.43693779268026
237,Actinomadura_logoneensis,bacteria,76462.0,8093581.0,105.85102403808428
238,Actinomadura_madurae,bacteria,960333.0,10255144.0,10.678737479603429
239,Actinomadura_mexicana,bacteria,840251.0,8786361.0,10.456828971343088
240,Actinomadura_meyerae,bacteria,461088.0,8572960.0,18.592893330557292
241,Actinomadura_parvosata,bacteria,2773724.0,13559781.0,4.888655468244137
242,Actinomadura_pelletieri,bacteria,1289295.0,7528180.0,5.838989525283197
243,Actinomadura_rubrisoli,bacteria,111689.0,10227186.0,91.56842661318483
244,Actinomadura_rubteroloni,bacteria,1843756.0,6469137.0,3.508673056521579
245,Actinomadura_soli,bacteria,116812.0,9041065.0,77.39842653152074
246,Actinomadura_sp,bacteria,129458.375,8558151.5,66.10736076364314
247,Actinomadura_spongiicola,bacteria,908128.0,7711411.0,8.491546345889565
248,Actinomadura_viridilutea,bacteria,615182.0,6720116.0,10.9237851562627
249,Actinomyces_bovis,bacteria,556181.0,2595566.0,4.666764956012521
250,Actinomyces_bowdenii,bacteria,367107.0,3103770.0,8.454673977886555
251,Actinomyces_denticolens,bacteria,336670.0,2760766.0,8.20021385926872
252,Actinomyces_gaoshouyii,bacteria,1052672.0,2359360.0,2.24130593385214
253,Actinomyces_glycerinitolerans,bacteria,600276.0,3695248.0,6.1559149457916025
254,Actinomyces_graevenitzii,bacteria,548922.0,2134846.0,3.889160937255202
255,Actinomyces_howellii,bacteria,1376211.0,3148934.0,2.288118609719004
256,Actinomyces_israelii,bacteria,1159544.0,2572997.0,2.2189731480651016
257,Actinomyces_johnsonii,bacteria,98968.0,3327711.0,33.62411082370059
258,Actinomyces_massiliensis,bacteria,123973.0,3416440.0,27.557936002194026
259,Actinomyces_naeslundii,bacteria,567079.1666666666,3129250.8333333335,5.518190434904004
260,Actinomyces_oris,bacteria,308712.06666666665,3106292.3333333335,10.062102096862212
261,Actinomyces_radicidentis,bacteria,1340527.0,3051613.0,2.276427852628108
262,Actinomyces_ruminicola,bacteria,398772.0,3201491.5,8.02837586390218
263,Actinomyces_slackii,bacteria,1419324.0,3220508.0,2.2690435728558103
264,Actinomyces_sp,bacteria,536174.2,2742902.7,5.115693183297519
265,Actinomyces_urogenitalis,bacteria,427429.3333333333,2606995.3333333335,6.09924291578803
266,Actinomyces_viscosus,bacteria,1207952.5,3312868.5,2.74254865154052
267,Actinomycetales_bacterium,bacteria,173593.5,3404743.75,19.613313574529002
268,Actinomycetia_bacterium,bacteria,58514.0,5569432.0,95.18118740814164
269,Actinomycetospora_cinnamomea,bacteria,695008.0,5971662.0,8.592220521202634
270,Actinomycetospora_succinea,bacteria,1045555.0,6465222.0,6.183531234607457
271,Actinophytocola_oryzae,bacteria,853708.0,10706011.0,12.54060053320339
272,Actinophytocola_xanthii,bacteria,295912.0,8345635.0,28.203097542512637
273,Actinophytocola_xinjiangensis,bacteria,848860.0,9535536.0,11.233343543104871
274,Actinoplanes_atraurantiacus,bacteria,916251.0,10906727.0,11.903645398477055
275,Actinoplanes_awajinensis,bacteria,330994.0,11392731.0,34.419750811192955
276,Actinoplanes_brasiliensis,bacteria,3856305.0,9750342.0,2.52841567251553
277,Actinoplanes_derwentensis,bacteria,4795193.0,10654181.0,2.2218461279869235
278,Actinoplanes_friuliensis,bacteria,4281741.0,9376071.0,2.1897800450797935
279,Actinoplanes_italicus,bacteria,748172.0,11152790.0,14.906719310532871
280,Actinoplanes_lutulentus,bacteria,730281.0,9887594.0,13.539437558967029
281,Actinoplanes_missouriensis,bacteria,3966740.0,8773466.0,2.2117572616304573
282,Actinoplanes_philippinensis,bacteria,764890.0,10381230.0,13.57218685039679
283,Actinoplanes_regularis,bacteria,938293.0,10031706.0,10.691442864862042
284,Actinoplanes_sp,bacteria,3192436.5,10258847.25,3.2134851390152943
285,Actinoplanes_utahensis,bacteria,465909.0,9489843.0,20.36844748652634
286,Actinoplanes_xinjiangensis,bacteria,733393.0,10797414.0,14.722548483555201
287,Actinopolymorpha_cephalotaxi,bacteria,569146.0,6822861.0,11.987892386136421
288,Actinopolymorpha_singaporensis,bacteria,2831097.0,6403669.0,2.261903777934843
289,Actinopolyspora_alba,bacteria,484120.0,5240643.0,10.825090886557051
290,Actinopolyspora_erythraea,bacteria,1235836.0,5298903.0,4.287707268601983
291,Actinopolyspora_mortivallis,bacteria,377030.0,4335852.0,11.500018566161843
292,Actinopolyspora_mzabensis,bacteria,516959.0,5004253.0,9.680173862917561
293,Actinopolyspora_righensis,bacteria,622928.0,4924010.0,7.904621400868158
294,Actinopolyspora_saharensis,bacteria,1616173.0,4682228.0,2.8971081684943383
295,Actinopolyspora_sp,bacteria,2137896.0,5079399.0,2.375886853242627
296,Actinopolyspora_xinjiangensis,bacteria,498994.0,5038150.0,10.096614388148955
297,Actinorugispora_endophytica,bacteria,588431.0,5253007.0,8.927141839909861
298,Actinosynnema_mirum,bacteria,3619974.0,8248144.0,2.278509182662638
299,Actinosynnema_pretiosum,bacteria,3611787.5,8235919.0,2.280288915114746
300,Actinosynnema_sp,bacteria,1056325.0,11712314.0,11.087794002792702
301,Actinotalea_fermentans,bacteria,83872.0,3617740.0,43.134061426936285
302,Actinotalea_ferrariae,bacteria,93080.0,3987077.0,42.83494843145681
303,Actinotignum_sanguinis,bacteria,140226.0,2038007.0,14.533731262390711
304,Actinotignum_schaalii,bacteria,860343.0,2125831.5,2.4709116015356667
305,Actinotignum_timonense,bacteria,391327.0,2245046.0,5.737007668778285
306,Actinotignum_urinale,bacteria,284040.0,1791584.0,6.307505985072525
307,Acutalibacter_muris,bacteria,1682194.0,3802913.0,2.260686341765575
308,Acutalibacter_sp,bacteria,309005.0,3623976.0,11.727887898254073
309,Acuticoccus_sediminis,bacteria,1393088.0,7763538.0,5.572898481646529
310,Adhaeribacter_arboris,bacteria,2984612.0,7248201.0,2.4285237076042043
