Species_name,Domain,Genome_size,Num_exons,Exon_to_genome_ratio
Acidipila_sp,bacteria,4475085,1892038,2.36521940891251
Acidiplasma_aeolicum,bacteria,1762846,39309,44.8458495509934
Acidiplasma_cupricumulans,bacteria,1731076,43787,39.5340169456688
Acidiplasma_sp,bacteria,1747364,461582,3.78559822523409
Acidipropionibacterium_acidipropionici,bacteria,3634891,1636103,2.22167629421864
Acidipropionibacterium_jensenii,bacteria,3064342,1365646,2.24387743968788
Acidipropionibacterium_virtanenii,bacteria,3432872,1540937,2.22778218707189
Acidisarcina_polymorpha,bacteria,7600726,3137531,2.42251821575628
Acidithiobacillales_bacterium,bacteria,2616358,50427,51.8840700418427
Acidithiobacillus_caldus,bacteria,3115617,932360,3.34164557324067
Acidithiobacillus_ferridurans,bacteria,2921399,1324897,2.20500084157485
Acidithiobacillus_ferrivorans,bacteria,3050277,433179,7.04160344707185
Acidithiobacillus_ferrooxidans,bacteria,2968131,712054,4.16840828378476
Acidithiobacillus_sp,bacteria,3218855,133144,24.1758050827302
Acidithiobacillus_sulfuriphilus,bacteria,2816858,74009,38.0610196057236
Acidithiobacillus_thiooxidans,bacteria,3833870,91376,41.9573080311462
Acidobacteria_bacterium,bacteria,5135206,143347,35.8235443415966
Acidobacteriales_bacterium,bacteria,4923487,1061704,4.6373443068878
Acidobacterium_capsulatum,bacteria,4127356,1830782,2.25442242713769
Acidobacterium_sp,bacteria,3522497,306697,11.4852859422915
Acidocella_aminolytica,bacteria,3984732,150557,26.4666006894399
Acidocella_sp,bacteria,3333803,654943,5.09021853810179
Acidomonas_methanolica,bacteria,3690031,159079,23.1962169739563
Acidothermus_cellulolyticus,bacteria,2443540,1100163,2.22107087767904
Acidovorax_anthurii,bacteria,5469042,217016,25.2011003796955
Acidovorax_avenae,bacteria,5546096,2196348,2.52514406583746
Acidovorax_caeni,bacteria,4152335,221971,18.7066553739002
Acidovorax_carolinensis,bacteria,4295128,1859805,2.30945131513811
Acidovorax_cattleyae,bacteria,5609245,290578,19.3037497677044
Acidovorax_cavernicola,bacteria,7038667,435978,16.1445462844455
Acidovorax_citrulli,bacteria,5352772,2401067,2.22933054346255
Acidovorax_defluvii,bacteria,4114188,300689,13.6825357761674
Acidovorax_delafieldii,bacteria,4842094,111514,43.421400003587
Acidovorax_ebreus,bacteria,3796573,1714759,2.21405631928452
Acidovorax_kalamii,bacteria,5137998,736218,6.978908421147
Acidovorax_konjaci,bacteria,5077528,512135,9.9144327179357
Acidovorax_soli,bacteria,4130223,319425,12.9301807936135
Acidovorax_sp,bacteria,5324444,1213749,4.38677604514299
Acidovorax_temperans,bacteria,4475784,210279,21.2849785285264
Acidovorax_valerianellae,bacteria,5257076,560038,9.38699873937126
Acidovorax_wautersii,bacteria,5335586,535957,9.95525014133597
Aciduliprofundum_boonei,bacteria,2234292,531574,4.20316569580688
Aciduliprofundum_sp,bacteria,1437090,681158,2.10977482463687
Acinetobacter_albensis,bacteria,3045904,260464,11.6941458320536
Acinetobacter_apis,bacteria,2413782,756383,3.19121661909377
Acinetobacter_baumannii,bacteria,4175066,386503,10.8021474530886
Acinetobacter_baylyi,bacteria,3598621,1588471,2.26546219603631
Acinetobacter_beijerinckii,bacteria,3555506,1003462,3.5432388072493
Acinetobacter_bereziniae,bacteria,4859721,879033,5.52848527870967
Acinetobacter_bohemicus,bacteria,3693026,553006,6.67809300441587
Acinetobacter_boissieri,bacteria,2690205,354101,7.59728156655869
Acinetobacter_bouvetii,bacteria,3660393,584276,6.26483545447699
Acinetobacter_brisouii,bacteria,3148512,1135016,2.77398027869211
Acinetobacter_calcoaceticus,bacteria,4018444,1090321,3.68556171955936
Acinetobacter_celticus,bacteria,3093802,546784,5.65817946391994
Acinetobacter_chinensis,bacteria,3737289,1584099,2.35925216795162
Acinetobacter_colistiniresistens,bacteria,4060490,958736,4.23525570921281
Acinetobacter_cumulans,bacteria,3730483,671435,5.55598255677141
Acinetobacter_defluvii,bacteria,3812268,1551931,2.45646745892698
Acinetobacter_equi,bacteria,3054269,1324067,2.30673296744047
Acinetobacter_gandensis,bacteria,3176356,293660,10.8164407818566
Acinetobacter_genomosp,bacteria,4318570,737471,5.85591885421031
Acinetobacter_gerneri,bacteria,4595172,679604,6.76154348708954
Acinetobacter_guerrae,bacteria,3541242,304764,11.6196204276096
Acinetobacter_guillouiae,bacteria,4818824,1688797,2.85340593463751
Acinetobacter_gyllenbergii,bacteria,4418040,1051388,4.20210188817068
Acinetobacter_haemolyticus,bacteria,3549101,1264001,2.80783127730863
Acinetobacter_halotolerans,bacteria,3290698,390516,8.42653822122525
Acinetobacter_idrijaensis,bacteria,3846869,223401,17.2195692946764
Acinetobacter_indicus,bacteria,3149801,742453,4.24242477301594
Acinetobacter_johnsonii,bacteria,3723131,852804,4.36575212574134
Acinetobacter_junii,bacteria,3438067,357397,9.61973612252218
Acinetobacter_kookii,bacteria,3085401,570055,5.41246195542535
Acinetobacter_kyonggiensis,bacteria,3714024,305259,12.1667960649809
