Round,Species,GenomeSize,ExonStartRange,ExonEndRange,NoncodingStartRange,NoncodingEndRange,ActiveTE,TEMobilized,TEStatic,TEInExons,TEInNoncoding,TEMobilizeProb
436,Accipiter_nisus,1190649881,0,533365,533366,1190649881,10000,2180000,0,1926,4358074,0.5
758,Accipiter_nisus,1190649881,0,533365,533366,1190649881,10000,3790000,0,3362,7576638,0.5
390,Accipiter_nisus,1190649881,0,533365,533366,1190649881,10000,1950000,0,1724,3898276,0.5
533,Accipiter_nisus,1190649881,0,533365,533366,1190649881,10000,2665000,0,2347,5327653,0.5
899,Accipiter_nisus,1190649881,0,533365,533366,1190649881,10000,4495000,0,3981,8986019,0.5
877,Accipiter_nisus,1190649881,0,533365,533366,1190649881,10000,4385000,0,3897,8766103,0.5
313,Accipiter_nisus,1190649881,0,533365,533366,1190649881,10000,1565000,0,1371,3128629,0.5
505,Accipiter_nisus,1190649881,0,533365,533366,1190649881,10000,2525000,0,2232,5047768,0.5
11,Accipiter_nisus,1190649881,0,533365,533366,1190649881,10000,55000,0,59,109941,0.5
402,Accipiter_nisus,1190649881,0,533365,533366,1190649881,10000,2010000,0,1781,4018219,0.5
183,Accipiter_nisus,1190649881,0,533365,533366,1190649881,10000,915000,0,813,1829187,0.5
114,Accipiter_nisus,1190649881,0,533365,533366,1190649881,10000,570000,0,518,1139482,0.5
280,Accipiter_nisus,1190649881,0,533365,533366,1190649881,10000,1400000,0,1225,2798775,0.5
304,Accipiter_nisus,1190649881,0,533365,533366,1190649881,10000,1520000,0,1333,3038667,0.5
350,Accipiter_nisus,1190649881,0,533365,533366,1190649881,10000,1750000,0,1532,3498468,0.5
272,Accipiter_nisus,1190649881,0,533365,533366,1190649881,10000,1360000,0,1190,2718810,0.5
137,Accipiter_nisus,1190649881,0,533365,533366,1190649881,10000,685000,0,618,1369382,0.5
273,Accipiter_nisus,1190649881,0,533365,533366,1190649881,10000,1365000,0,1192,2728808,0.5
389,Accipiter_nisus,1190649881,0,533365,533366,1190649881,10000,1945000,0,1721,3888279,0.5
769,Accipiter_nisus,1190649881,0,533365,533366,1190649881,10000,3845000,0,3398,7686602,0.5
814,Accipiter_nisus,1190649881,0,533365,533366,1190649881,10000,4070000,0,3585,8136415,0.5
872,Accipiter_nisus,1190649881,0,533365,533366,1190649881,10000,4360000,0,3871,8716129,0.5
909,Accipiter_nisus,1190649881,0,533365,533366,1190649881,10000,4545000,0,4045,9085955,0.5
945,Accipiter_nisus,1190649881,0,533365,533366,1190649881,10000,4725000,0,4198,9445802,0.5
823,Accipiter_nisus,1190649881,0,533365,533366,1190649881,10000,4115000,0,3649,8226351,0.5
328,Accipiter_nisus,1190649881,0,533365,533366,1190649881,10000,1640000,0,1438,3278562,0.5
846,Accipiter_nisus,1190649881,0,533365,533366,1190649881,10000,4230000,0,3744,8456256,0.5
134,Accipiter_nisus,1190649881,0,533365,533366,1190649881,10000,670000,0,606,1339394,0.5
970,Accipiter_nisus,1190649881,0,533365,533366,1190649881,10000,4850000,0,4319,9695681,0.5
71,Accipiter_nisus,1190649881,0,533365,533366,1190649881,10000,355000,0,339,709661,0.5
446,Accipiter_nisus,1190649881,0,533365,533366,1190649881,10000,2230000,0,1969,4458031,0.5
175,Accipiter_nisus,1190649881,0,533365,533366,1190649881,10000,875000,0,775,1749225,0.5
17,Accipiter_nisus,1190649881,0,533365,533366,1190649881,10000,85000,0,95,169905,0.5
130,Accipiter_nisus,1190649881,0,533365,533366,1190649881,10000,650000,0,586,1299414,0.5
317,Accipiter_nisus,1190649881,0,533365,533366,1190649881,10000,1585000,0,1389,3168611,0.5
580,Accipiter_nisus,1190649881,0,533365,533366,1190649881,10000,2900000,0,2544,5797456,0.5
135,Accipiter_nisus,1190649881,0,533365,533366,1190649881,10000,675000,0,609,1349391,0.5
105,Accipiter_nisus,1190649881,0,533365,533366,1190649881,10000,525000,0,485,1049515,0.5
63,Accipiter_nisus,1190649881,0,533365,533366,1190649881,10000,315000,0,305,629695,0.5
589,Accipiter_nisus,1190649881,0,533365,533366,1190649881,10000,2945000,0,2581,5887419,0.5
483,Accipiter_nisus,1190649881,0,533365,533366,1190649881,10000,2415000,0,2139,4827861,0.5
426,Accipiter_nisus,1190649881,0,533365,533366,1190649881,10000,2130000,0,1875,4258125,0.5
