id,round,species,genome_size,exon_start_range,exon_end_range,noncoding_start_range,non_coding_end_range,active_te,te_mobilized,te_static,te_in_exons,te_in_noncoding,te_mobilize_prob
178,178,Abditibacterium_utsteinense,3606331,0,305408,305409,3606331,10000,890000,0,75137,814863,0.5
179,179,Abditibacterium_utsteinense,3606331,0,305408,305409,3606331,10000,895000,0,75520,819480,0.5
180,180,Abditibacterium_utsteinense,3606331,0,305408,305409,3606331,10000,900000,0,75940,824060,0.5
181,181,Abditibacterium_utsteinense,3606331,0,305408,305409,3606331,10000,905000,0,76342,828658,0.5
182,182,Abditibacterium_utsteinense,3606331,0,305408,305409,3606331,10000,910000,0,76775,833225,0.5
183,183,Abditibacterium_utsteinense,3606331,0,305408,305409,3606331,10000,915000,0,77193,837807,0.5
184,184,Abditibacterium_utsteinense,3606331,0,305408,305409,3606331,10000,920000,0,77614,842386,0.5
185,185,Abditibacterium_utsteinense,3606331,0,305408,305409,3606331,10000,925000,0,78042,846958,0.5
186,186,Abditibacterium_utsteinense,3606331,0,305408,305409,3606331,10000,930000,0,78478,851522,0.5
187,187,Abditibacterium_utsteinense,3606331,0,305408,305409,3606331,10000,935000,0,78906,856094,0.5
188,188,Abditibacterium_utsteinense,3606331,0,305408,305409,3606331,10000,940000,0,79329,860671,0.5
189,189,Abditibacterium_utsteinense,3606331,0,305408,305409,3606331,10000,945000,0,79799,865201,0.5
190,190,Abditibacterium_utsteinense,3606331,0,305408,305409,3606331,10000,950000,0,80212,869788,0.5
191,191,Abditibacterium_utsteinense,3606331,0,305408,305409,3606331,10000,955000,0,80652,874348,0.5
192,192,Abditibacterium_utsteinense,3606331,0,305408,305409,3606331,10000,960000,0,81082,878918,0.5
193,193,Abditibacterium_utsteinense,3606331,0,305408,305409,3606331,10000,965000,0,81511,883489,0.5
194,194,Abditibacterium_utsteinense,3606331,0,305408,305409,3606331,10000,970000,0,81973,888027,0.5
195,195,Abditibacterium_utsteinense,3606331,0,305408,305409,3606331,10000,975000,0,82399,892601,0.5
196,196,Abditibacterium_utsteinense,3606331,0,305408,305409,3606331,10000,980000,0,82812,897188,0.5
197,197,Abditibacterium_utsteinense,3606331,0,305408,305409,3606331,10000,985000,0,83241,901759,0.5
198,198,Abditibacterium_utsteinense,3606331,0,305408,305409,3606331,10000,990000,0,83675,906325,0.5
199,199,Abditibacterium_utsteinense,3606331,0,305408,305409,3606331,10000,995000,0,84098,910902,0.5
200,200,Abditibacterium_utsteinense,3606331,0,305408,305409,3606331,10000,1000000,0,84534,915466,0.5
201,201,Abditibacterium_utsteinense,3606331,0,305408,305409,3606331,10000,1005000,0,84963,920037,0.5
202,202,Abditibacterium_utsteinense,3606331,0,305408,305409,3606331,10000,1010000,0,85398,924602,0.5
203,203,Abditibacterium_utsteinense,3606331,0,305408,305409,3606331,10000,1015000,0,85804,929196,0.5
204,204,Abditibacterium_utsteinense,3606331,0,305408,305409,3606331,10000,1020000,0,86260,933740,0.5
205,205,Abditibacterium_utsteinense,3606331,0,305408,305409,3606331,10000,1025000,0,86711,938289,0.5
206,206,Abditibacterium_utsteinense,3606331,0,305408,305409,3606331,10000,1030000,0,87116,942884,0.5
207,207,Abditibacterium_utsteinense,3606331,0,305408,305409,3606331,10000,1035000,0,87565,947435,0.5
208,208,Abditibacterium_utsteinense,3606331,0,305408,305409,3606331,10000,1040000,0,87993,952007,0.5
209,209,Abditibacterium_utsteinense,3606331,0,305408,305409,3606331,10000,1045000,0,88432,956568,0.5
210,210,Abditibacterium_utsteinense,3606331,0,305408,305409,3606331,10000,1050000,0,88870,961130,0.5
211,211,Abditibacterium_utsteinense,3606331,0,305408,305409,3606331,10000,1055000,0,89285,965715,0.5
212,212,Abditibacterium_utsteinense,3606331,0,305408,305409,3606331,10000,1060000,0,89698,970302,0.5
213,213,Abditibacterium_utsteinense,3606331,0,305408,305409,3606331,10000,1065000,0,90110,974890,0.5
214,214,Abditibacterium_utsteinense,3606331,0,305408,305409,3606331,10000,1070000,0,90555,979445,0.5
215,215,Abditibacterium_utsteinense,3606331,0,305408,305409,3606331,10000,1075000,0,90964,984036,0.5
216,216,Abditibacterium_utsteinense,3606331,0,305408,305409,3606331,10000,1080000,0,91400,988600,0.5
217,217,Abditibacterium_utsteinense,3606331,0,305408,305409,3606331,10000,1085000,0,91869,993131,0.5
218,218,Abditibacterium_utsteinense,3606331,0,305408,305409,3606331,10000,1090000,0,92307,997693,0.5
219,219,Abditibacterium_utsteinense,3606331,0,305408,305409,3606331,10000,1095000,0,92730,1002270,0.5
220,220,Abditibacterium_utsteinense,3606331,0,305408,305409,3606331,10000,1100000,0,93172,1006828,0.5
221,221,Abditibacterium_utsteinense,3606331,0,305408,305409,3606331,10000,1105000,0,93546,1011454,0.5
222,222,Abditibacterium_utsteinense,3606331,0,305408,305409,3606331,10000,1110000,0,93963,1016037,0.5
223,223,Abditibacterium_utsteinense,3606331,0,305408,305409,3606331,10000,1115000,0,94428,1020572,0.5
224,224,Abditibacterium_utsteinense,3606331,0,305408,305409,3606331,10000,1120000,0,94870,1025130,0.5
225,225,Abditibacterium_utsteinense,3606331,0,305408,305409,3606331,10000,1125000,0,95253,1029747,0.5
226,226,Abditibacterium_utsteinense,3606331,0,305408,305409,3606331,10000,1130000,0,95659,1034341,0.5
227,227,Abditibacterium_utsteinense,3606331,0,305408,305409,3606331,10000,1135000,0,96051,1038949,0.5
228,228,Abditibacterium_utsteinense,3606331,0,305408,305409,3606331,10000,1140000,0,96491,1043509,0.5
229,229,Abditibacterium_utsteinense,3606331,0,305408,305409,3606331,10000,1145000,0,96902,1048098,0.5
230,230,Abditibacterium_utsteinense,3606331,0,305408,305409,3606331,10000,1150000,0,97311,1052689,0.5
231,231,Abditibacterium_utsteinense,3606331,0,305408,305409,3606331,10000,1155000,0,97711,1057289,0.5
232,232,Abditibacterium_utsteinense,3606331,0,305408,305409,3606331,10000,1160000,0,98139,1061861,0.5
233,233,Abditibacterium_utsteinense,3606331,0,305408,305409,3606331,10000,1165000,0,98564,1066436,0.5
234,234,Abditibacterium_utsteinense,3606331,0,305408,305409,3606331,10000,1170000,0,98996,1071004,0.5
235,235,Abditibacterium_utsteinense,3606331,0,305408,305409,3606331,10000,1175000,0,99403,1075597,0.5
236,236,Abditibacterium_utsteinense,3606331,0,305408,305409,3606331,10000,1180000,0,99834,1080166,0.5
237,237,Abditibacterium_utsteinense,3606331,0,305408,305409,3606331,10000,1185000,0,100234,1084766,0.5
238,238,Abditibacterium_utsteinense,3606331,0,305408,305409,3606331,10000,1190000,0,100613,1089387,0.5
239,239,Abditibacterium_utsteinense,3606331,0,305408,305409,3606331,10000,1195000,0,101020,1093980,0.5
240,240,Abditibacterium_utsteinense,3606331,0,305408,305409,3606331,10000,1200000,0,101436,1098564,0.5
241,241,Abditibacterium_utsteinense,3606331,0,305408,305409,3606331,10000,1205000,0,101866,1103134,0.5
242,242,Abditibacterium_utsteinense,3606331,0,305408,305409,3606331,10000,1210000,0,102293,1107707,0.5
243,243,Abditibacterium_utsteinense,3606331,0,305408,305409,3606331,10000,1215000,0,102759,1112241,0.5
244,244,Abditibacterium_utsteinense,3606331,0,305408,305409,3606331,10000,1220000,0,103188,1116812,0.5
245,245,Abditibacterium_utsteinense,3606331,0,305408,305409,3606331,10000,1225000,0,103601,1121399,0.5
246,246,Abditibacterium_utsteinense,3606331,0,305408,305409,3606331,10000,1230000,0,104023,1125977,0.5
247,247,Abditibacterium_utsteinense,3606331,0,305408,305409,3606331,10000,1235000,0,104474,1130526,0.5
