id,round,species,genome_size,exon_start_range,exon_end_range,noncoding_start_range,non_coding_end_range,active_te,te_mobilized,te_static,te_in_exons,te_in_noncoding,te_mobilize_prob
172,172,Abiotrophia_defectiva,2041839,0,297361,297362,2041839,10000,860000,0,125450,734550,0.5
173,173,Abiotrophia_defectiva,2041839,0,297361,297362,2041839,10000,865000,0,126150,738850,0.5
174,174,Abiotrophia_defectiva,2041839,0,297361,297362,2041839,10000,870000,0,126878,743122,0.5
175,175,Abiotrophia_defectiva,2041839,0,297361,297362,2041839,10000,875000,0,127661,747339,0.5
176,176,Abiotrophia_defectiva,2041839,0,297361,297362,2041839,10000,880000,0,128362,751638,0.5
177,177,Abiotrophia_defectiva,2041839,0,297361,297362,2041839,10000,885000,0,129086,755914,0.5
178,178,Abiotrophia_defectiva,2041839,0,297361,297362,2041839,10000,890000,0,129798,760202,0.5
179,179,Abiotrophia_defectiva,2041839,0,297361,297362,2041839,10000,895000,0,130512,764488,0.5
180,180,Abiotrophia_defectiva,2041839,0,297361,297362,2041839,10000,900000,0,131244,768756,0.5
181,181,Abiotrophia_defectiva,2041839,0,297361,297362,2041839,10000,905000,0,132015,772985,0.5
182,182,Abiotrophia_defectiva,2041839,0,297361,297362,2041839,10000,910000,0,132721,777279,0.5
183,183,Abiotrophia_defectiva,2041839,0,297361,297362,2041839,10000,915000,0,133483,781517,0.5
184,184,Abiotrophia_defectiva,2041839,0,297361,297362,2041839,10000,920000,0,134230,785770,0.5
185,185,Abiotrophia_defectiva,2041839,0,297361,297362,2041839,10000,925000,0,135007,789993,0.5
186,186,Abiotrophia_defectiva,2041839,0,297361,297362,2041839,10000,930000,0,135721,794279,0.5
187,187,Abiotrophia_defectiva,2041839,0,297361,297362,2041839,10000,935000,0,136496,798504,0.5
188,188,Abiotrophia_defectiva,2041839,0,297361,297362,2041839,10000,940000,0,137193,802807,0.5
189,189,Abiotrophia_defectiva,2041839,0,297361,297362,2041839,10000,945000,0,137894,807106,0.5
190,190,Abiotrophia_defectiva,2041839,0,297361,297362,2041839,10000,950000,0,138630,811370,0.5
